date,Price
8/29/11,
8/30/11,
8/31/11,
9/1/11,
9/2/11,21.3
9/5/11,22.1
9/6/11,22.4
9/7/11,22.85
9/8/11,22.65
9/9/11,22.45
9/12/11,21.55
9/13/11,20.55
9/14/11,19.45
9/15/11,18.8
9/16/11,18.15
9/19/11,18.2
9/20/11,18.25
9/21/11,18.3
9/22/11,18.4
9/23/11,18.5
9/26/11,18.6
9/27/11,18.55
9/28/11,18.53
9/29/11,18.53
9/30/11,18.53
10/3/11,18.63
10/4/11,18.88
10/5/11,18.85
10/6/11,18.75
10/7/11,18.65
10/10/11,18.45
10/11/11,18.25
10/12/11,18.3
10/13/11,18.55
10/14/11,18.85
10/17/11,19.15
10/18/11,19.35
10/19/11,19.5
10/20/11,19.35
10/21/11,19.15
10/24/11,18.92
10/25/11,18.79
10/26/11,18.59
10/27/11,18.49
10/28/11,18.39
10/31/11,18.32
11/1/11,18.25
11/2/11,18.2
11/3/11,17.91
11/4/11,17.62
11/7/11,17.33
11/8/11,17.03
11/9/11,16.87
11/10/11,17
11/11/11,17.13
11/14/11,17.29
11/15/11,17.46
11/16/11,17.52
11/17/11,17.38
11/18/11,17.14
11/21/11,16.81
11/22/11,16.49
11/23/11,16.19
11/24/11,16.04
11/25/11,15.99
11/28/11,15.92
11/29/11,15.88
11/30/11,15.93
12/1/11,15.98
12/2/11,16.03
12/5/11,16.09
12/6/11,16.05
12/7/11,15.92
12/8/11,15.81
12/9/11,15.7
12/12/11,15.66
12/13/11,15.68
12/14/11,15.7
12/15/11,15.66
12/16/11,15.62
12/19/11,15.58
12/20/11,15.54
12/21/11,15.5
12/22/11,15.6
12/23/11,15.7
12/27/11,15.8
12/28/11,16
12/29/11,16.13
12/30/11,16.03
1/3/12,15.91
1/4/12,15.79
1/5/12,15.55
1/6/12,15.07
1/9/12,14.72
1/10/12,14.46
1/11/12,14.2
1/12/12,13.96
1/13/12,13.97
1/16/12,13.98
1/17/12,13.92
1/18/12,13.85
1/19/12,13.78
1/20/12,13.77
1/23/12,13.76
1/24/12,13.75
1/25/12,13.6
1/26/12,13.45
1/27/12,13.3
1/30/12,13.25
1/31/12,13.27
2/1/12,13.49
2/2/12,13.9
2/3/12,14.45
2/6/12,14.9
2/7/12,15.28
2/8/12,15.61
2/9/12,15.6
2/10/12,15.39
2/13/12,15.02
2/14/12,14.68
2/15/12,14.34
2/16/12,14.19
2/17/12,14.1
2/20/12,14.17
2/21/12,14.26
2/22/12,14.33
2/23/12,14.36
2/24/12,14.39
2/27/12,14.37
2/28/12,14.3
2/29/12,14.2
3/1/12,14.04
3/2/12,13.9
3/5/12,13.81
3/6/12,13.72
3/7/12,13.74
3/8/12,13.87
3/9/12,13.98
3/12/12,14.09
3/13/12,14.25
3/14/12,14.35
3/15/12,14.4
3/16/12,14.51
3/19/12,14.62
3/20/12,14.68
3/21/12,14.74
3/22/12,14.8
3/23/12,14.8
3/26/12,14.84
3/27/12,14.86
3/28/12,14.8
3/29/12,14.74
3/30/12,14.57
4/2/12,14.36
4/3/12,14.17
4/4/12,14.06
4/5/12,13.94
4/9/12,13.93
4/10/12,13.92
4/11/12,13.91
4/12/12,13.87
4/13/12,13.85
4/16/12,13.87
4/17/12,14.05
4/18/12,14.23
4/19/12,14.53
4/20/12,15.01
4/23/12,15.3
4/24/12,15.51
4/25/12,15.74
4/26/12,15.88
4/27/12,15.83
4/30/12,15.93
5/1/12,15.95
5/2/12,15.86
5/3/12,15.77
5/4/12,15.57
5/7/12,15.38
5/8/12,15.19
5/9/12,15.13
5/10/12,15.09
5/11/12,15.16
5/14/12,15.22
5/15/12,15.32
5/16/12,15.34
5/17/12,15.35
5/18/12,15.36
5/21/12,15.37
5/22/12,15.34
5/23/12,15.33
5/24/12,15.31
5/25/12,15.27
5/28/12,15.23
5/29/12,15.22
5/30/12,15.23
5/31/12,15.28
6/1/12,15.32
6/4/12,15.36
6/5/12,15.37
6/6/12,15.38
6/7/12,15.38
6/8/12,15.55
6/11/12,15.66
6/12/12,15.71
6/13/12,15.76
6/14/12,15.78
6/15/12,15.74
6/18/12,15.76
6/19/12,15.9
6/20/12,16.13
6/21/12,16.36
6/22/12,16.59
6/25/12,16.82
6/26/12,17.03
6/27/12,17.15
6/28/12,17.45
6/29/12,17.69
7/2/12,17.93
7/3/12,18.13
7/4/12,18.33
7/5/12,18.39
7/6/12,18.43
7/9/12,18.51
7/10/12,18.59
7/11/12,18.72
7/12/12,18.82
7/13/12,18.93
7/16/12,19
7/17/12,19.09
7/18/12,19.14
7/19/12,19.18
7/20/12,19.24
7/23/12,19.36
7/24/12,19.54
7/25/12,19.65
7/26/12,19.76
7/27/12,19.81
7/30/12,19.76
7/31/12,19.35
8/1/12,19.19
8/2/12,19
8/3/12,18.82
8/6/12,18.68
8/7/12,18.67
8/8/12,18.49
8/9/12,18.29
8/10/12,18.11
8/13/12,17.93
8/14/12,17.83
8/15/12,17.68
8/16/12,17.58
8/17/12,17.31
8/20/12,17.09
8/21/12,17.07
8/22/12,17.02
8/23/12,16.9
8/24/12,16.9
8/27/12,16.9
8/28/12,16.77
8/29/12,16.62
8/30/12,16.53
8/31/12,16.48
9/3/12,16.38
9/4/12,16.33
9/5/12,16.36
9/6/12,16.4
9/7/12,16.45
9/10/12,16.45
9/11/12,16.32
9/12/12,16.22
9/13/12,16.05
9/14/12,15.88
9/17/12,15.83
9/18/12,15.87
9/19/12,15.88
9/20/12,15.9
9/21/12,15.91
9/24/12,15.86
9/25/12,15.78
9/26/12,15.66
9/27/12,15.55
9/28/12,15.45
10/1/12,15.34
10/2/12,15.25
10/3/12,15.16
10/4/12,15.07
10/5/12,14.94
10/8/12,14.82
10/9/12,14.7
10/10/12,14.62
10/11/12,14.55
10/12/12,14.52
10/15/12,14.44
10/16/12,14.36
10/17/12,14.27
10/18/12,14.12
10/19/12,13.9
10/22/12,13.61
10/23/12,13.33
10/24/12,13.02
10/25/12,12.76
10/26/12,12.55
10/29/12,12.46
10/30/12,12.36
10/31/12,12.3
11/1/12,12.41
11/2/12,12.44
11/5/12,12.43
11/6/12,12.44
11/7/12,12.45
11/8/12,12.32
11/9/12,12.29
11/12/12,12.33
11/13/12,12.32
11/14/12,12.26
11/15/12,12.22
11/16/12,12.18
11/19/12,12.02
11/20/12,11.9
11/21/12,11.8
11/22/12,11.7
11/23/12,11.6
11/26/12,11.6
11/27/12,11.58
11/28/12,11.59
11/29/12,11.6
11/30/12,11.69
12/3/12,11.99
12/4/12,12.25
12/5/12,12.53
12/6/12,12.76
12/7/12,12.96
12/10/12,12.93
12/11/12,12.99
12/12/12,13.08
12/13/12,13.25
12/14/12,13.46
12/17/12,13.74
12/18/12,14.02
12/19/12,14.33
12/20/12,14.59
12/21/12,14.74
12/24/12,14.82
12/26/12,14.86
12/27/12,14.81
12/28/12,14.65
12/31/12,14.64
1/2/13,14.92
1/3/13,15.13
1/4/13,15.37
1/7/13,15.8
1/8/13,16.13
1/9/13,16.01
1/10/13,15.83
1/11/13,15.52
1/14/13,15.09
1/15/13,14.61
1/16/13,14.34
1/17/13,14.22
1/18/13,14.17
1/21/13,14.18
1/22/13,14.17
1/23/13,14.13
1/24/13,14.07
1/25/13,14.16
1/28/13,14.18
1/29/13,14.23
1/30/13,14.25
1/31/13,14.32
2/1/13,14.3
2/4/13,14.4
2/5/13,14.45
2/6/13,14.45
2/7/13,14.41
2/8/13,14.37
2/11/13,14.3
2/12/13,14.26
2/13/13,14.25
2/14/13,14.21
2/15/13,14.15
2/18/13,14.07
2/19/13,13.91
2/20/13,13.81
2/21/13,13.83
2/22/13,14.01
2/25/13,14.24
2/26/13,14.52
2/27/13,14.73
2/28/13,14.87
3/1/13,14.89
3/4/13,14.86
3/5/13,14.86
3/6/13,14.85
3/7/13,14.79
3/8/13,14.7
3/11/13,14.61
3/12/13,14.49
3/13/13,14.41
3/14/13,14.34
3/15/13,14.3
3/18/13,14.25
3/19/13,14.28
3/20/13,14.33
3/21/13,14.41
3/22/13,14.38
3/25/13,14.37
3/26/13,14.33
3/27/13,14.28
3/28/13,14.22
4/1/13,14.22
4/2/13,14.2
4/3/13,14.19
4/4/13,14.19
4/5/13,14.18
4/8/13,14.18
4/9/13,14.22
4/10/13,14.27
4/11/13,14.35
4/12/13,14.49
4/15/13,14.66
4/16/13,14.77
4/17/13,14.82
4/18/13,14.81
4/19/13,14.78
4/22/13,14.74
4/23/13,14.72
4/24/13,14.77
4/25/13,14.77
4/26/13,14.75
4/29/13,14.72
4/30/13,14.68
5/1/13,14.58
5/2/13,14.55
5/3/13,14.5
